2021-10-24 9:44, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '銵'., 81 GetBattleReq***
2021-10-24 9:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 9:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 10:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 10:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 10:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 10:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 10:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 10:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 10:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 10:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 10:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 10:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 10:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 10:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 11:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 11:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 11:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '类葀'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 11:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 11:17, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'C'., 80 LoadKnightsAllList***
2021-10-24 11:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 11:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 11:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 11:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 11:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 11:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 11:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 11:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 12:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
